	input	filtered	denoised	merged	non-chimeric
ITSCP-ITS_CATCCT-JG62T_L001_R1.fastq.gz	202545	184767	184541	160912	86424
ITSM1_ACCCCC-JRDRM_L001_R1.fastq.gz	27920	4745	4739	4265	1647
ITSM1-1_ATTACA-JRDRM_L001_R1.fastq.gz	15259	2940	2934	2635	962
ITSM2_ACCAGG-JRDRM_L001_R1.fastq.gz	13079	2694	2688	2272	904
ITSM2-1_AACCGA-JRDRM_L001_R1.fastq.gz	17107	3564	3563	3079	1063
ITSM3_GGATCA-JRDRM_L001_R1.fastq.gz	45115	9191	9188	8258	3920
ITSM3-1_TCTATG-JRDRM_L001_R1.fastq.gz	12418	2253	2251	2075	1011
ITSM4_AAAGCG-JRDRM_L001_R1.fastq.gz	42451	8431	8426	7032	3415
ITSM4-1_GCATAC-JRDRM_L001_R1.fastq.gz	12476	1973	1969	1650	816
ITSM5_AGGCGC-JRDRM_L001_R1.fastq.gz	13837	2392	2390	1768	1255
ITSM5-1_GTAGAA-JRDRM_L001_R1.fastq.gz	14389	2889	2886	2159	1563
ITSMeq-ITS_GGACTT-JG62T_L001_R1.fastq.gz	188898	173480	173001	156779	82090
ITSMS10-ITS_GGCCAA-JG62T_L001_R1.fastq.gz	186409	168015	167453	157747	81986
