	input	filtered	denoised	merged	non-chimeric
ITSCP-ITS_CATCCT-JG62T_L001_R1.fastq.gz	202545	199285	198766	176803	94750
ITSM1_ACCCCC-JRDRM_L001_R1.fastq.gz	27920	14765	14750	13557	5158
ITSM1-1_ATTACA-JRDRM_L001_R1.fastq.gz	15259	8483	8469	7762	2769
ITSM2_ACCAGG-JRDRM_L001_R1.fastq.gz	13079	7320	7316	6520	2479
ITSM2-1_AACCGA-JRDRM_L001_R1.fastq.gz	17107	9605	9605	8582	2999
ITSM3_GGATCA-JRDRM_L001_R1.fastq.gz	45115	25247	25238	23750	11066
ITSM3-1_TCTATG-JRDRM_L001_R1.fastq.gz	12418	6633	6630	6270	2960
ITSM4_AAAGCG-JRDRM_L001_R1.fastq.gz	42451	23634	23623	21175	10121
ITSM4-1_GCATAC-JRDRM_L001_R1.fastq.gz	12476	6237	6232	5630	2765
ITSM5_AGGCGC-JRDRM_L001_R1.fastq.gz	13837	7361	7356	6138	4304
ITSM5-1_GTAGAA-JRDRM_L001_R1.fastq.gz	14389	8109	8103	6862	4854
ITSMeq-ITS_GGACTT-JG62T_L001_R1.fastq.gz	188898	186129	185397	177764	90670
ITSMS10-ITS_GGCCAA-JG62T_L001_R1.fastq.gz	186409	183321	182740	175193	89690
