	input	filtered	denoised	merged	non-chimeric
ITSCP-ITS_CATCCT-JG62T_L001_R1.fastq.gz	202545	187718	187484	166375	88845
ITSM1_ACCCCC-JRDRM_L001_R1.fastq.gz	27920	6823	6806	6235	2364
ITSM1-1_ATTACA-JRDRM_L001_R1.fastq.gz	15259	4123	4115	3752	1333
ITSM2_ACCAGG-JRDRM_L001_R1.fastq.gz	13079	3640	3635	3206	1245
ITSM2-1_AACCGA-JRDRM_L001_R1.fastq.gz	17107	4870	4870	4320	1521
ITSM3_GGATCA-JRDRM_L001_R1.fastq.gz	45115	12578	12550	11779	5553
ITSM3-1_TCTATG-JRDRM_L001_R1.fastq.gz	12418	3173	3171	2985	1436
ITSM4_AAAGCG-JRDRM_L001_R1.fastq.gz	42451	11729	11702	10530	5173
ITSM4-1_GCATAC-JRDRM_L001_R1.fastq.gz	12476	2792	2788	2515	1243
ITSM5_AGGCGC-JRDRM_L001_R1.fastq.gz	13837	3383	3380	2833	2026
ITSM5-1_GTAGAA-JRDRM_L001_R1.fastq.gz	14389	3949	3945	3342	2423
ITSMeq-ITS_GGACTT-JG62T_L001_R1.fastq.gz	188898	176035	175336	168124	86334
ITSMS10-ITS_GGCCAA-JG62T_L001_R1.fastq.gz	186409	171119	170523	163675	83979
